,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Has_Score,Has_Rating,Age,Grouped_Publisher
0,Final Fantasy Tactics Advance,GBA,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13,87.0,44.0,78.0,213.0,E,True,True,18.0,Petit
1,Parasite Eve,PS,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81.0,17.0,89.0,89.0,M,True,True,23.0,Petit
2,Chrono Cross,PS,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,94.0,16.0,81.0,298.0,T,True,True,22.0,Petit
3,Xenogears,PS,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,84.0,15.0,84.0,207.0,T,True,True,23.0,Petit
4,Brave Fencer Musashi,PS,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14,81.0,12.0,85.0,17.0,E,True,True,23.0,Petit
5,Parasite Eve II,PS,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58,79.0,14.0,90.0,79.0,M,True,True,22.0,Petit
6,Dynasty Warriors 4,PS2,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,78.0,24.0,93.0,201.0,T,True,True,18.0,Moyen
7,Dynasty Warriors 5,PS2,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,69.0,29.0,88.0,69.0,T,True,True,16.0,Moyen
8,Ninja Gaiden II,X360,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,81.0,74.0,80.0,304.0,M,True,True,13.0,Moyen
9,Dynasty Warriors 3: Xtreme Legends,PS2,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0,72.0,16.0,93.0,54.0,T,True,True,19.0,Moyen
10,Dynasty Warriors 7,PS3,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91,57.0,25.0,74.0,58.0,T,True,True,10.0,Moyen
11,Warriors Orochi,PS2,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55.0,14.0,82.0,17.0,T,True,True,14.0,Moyen
12,Dynasty Warriors 4: Xtreme Legends,PS2,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,72.0,15.0,91.0,39.0,T,True,True,18.0,Moyen
13,Dynasty Warriors 6,PS3,Action,Tecmo Koei,0.18,0.07,0.41,0.04,0.71,59.0,31.0,72.0,50.0,T,True,True,14.0,Moyen
14,Dead or Alive 5,PS3,Fighting,Tecmo Koei,0.23,0.14,0.2,0.07,0.64,74.0,34.0,77.0,109.0,M,True,True,9.0,Moyen
15,Shin Megami Tensei: Persona 3 FES,PS2,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63,89.0,25.0,83.0,298.0,M,True,True,14.0,Moyen
16,Samurai Warriors 2,PS2,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,58.0,26.0,88.0,13.0,T,True,True,15.0,Moyen
17,Dynasty Warriors 8,PS3,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,84.0,77.0,T,True,True,8.0,Moyen
18,Dynasty Warriors 5: Xtreme Legends,PS2,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,57.0,22.0,91.0,26.0,T,True,True,16.0,Moyen
19,Dynasty Warriors: Gundam 3,PS3,Action,Tecmo Koei,0.11,0.04,0.36,0.02,0.54,58.0,18.0,75.0,20.0,T,True,True,11.0,Moyen
20,Dynasty Warriors,PSP,Action,Tecmo Koei,0.18,0.0,0.3,0.02,0.51,62.0,26.0,73.0,24.0,T,True,True,17.0,Moyen
21,Dead or Alive Ultimate,X,Fighting,Tecmo Koei,0.3,0.1,0.08,0.02,0.5,83.0,64.0,87.0,25.0,M,True,True,17.0,Moyen
22,Dynasty Warriors Gundam,PS3,Action,Tecmo Koei,0.14,0.01,0.31,0.02,0.47,60.0,29.0,69.0,16.0,T,True,True,14.0,Moyen
23,Dead or Alive 4,X360,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,0.47,85.0,76.0,82.0,224.0,M,True,True,16.0,Moyen
24,Shin Megami Tensei: Persona 3,PS2,Role-Playing,Tecmo Koei,0.22,0.03,0.0,0.2,0.45,86.0,52.0,84.0,116.0,M,True,True,15.0,Moyen
